[2021-10-28 22:18:43,751] [INFO] ************************************* Maxims_VMP_Report Start *************************************
[2021-10-28 22:18:43,751] [INFO] ['Maxims_VMP_Report.py']
[2021-10-28 22:18:43,752] [INFO] ************************************* readCSV Start *************************************
[2021-10-28 22:18:43,754] [INFO] ['Record Identifier', 'File ID', 'File Date', 'MID', 'MID name']
[2021-10-28 22:18:43,754] [INFO] ['`RH', '`852000058140011_20211027', '`20211027', '`852000058140011', '`Maxims MX']
[2021-10-28 22:18:43,754] [INFO] ['Record Identifier', 'Settlement Date', 'Terminal ID', 'Batch Number', 'Transaction Date', 'Transaction Time', 'Settlement no', 'Payment Type', 'Currency', 'Wallet Version', 'FX Rate', 'Transaction amount HKD', 'Transaction amount RMB', 'MDR Fee HKD', 'MDR', 'Net Amount HKD', 'Trace Number', 'Trans Type', 'RRN', 'Merchant RRN', 'User confirm key']
[2021-10-28 22:18:43,773] [INFO] ['`RD', '`2021/10/28', '`02913', '`000001', '`20211027', '`111234', '`2021102722001351851414746800', '`ALIPAY', '`HKD', '`ALIPAYHK', '`', '`43.5', '`', '`0.52', '`', '`42.98', '`7993691', '`S', '`58140011000070111tdavbhbc534', '`04998904836900102724', '`852000058140011']
[2021-10-28 22:18:43,773] [INFO] ['`RD', '`2021/10/28', '`02913', '`000001', '`20211027', '`111241', '`2021102722001356861442693221', '`ALIPAY', '`HKD', '`ALIPAYCN', '`', '`42', '`', '`0.5', '`', '`41.5', '`7993692', '`S', '`58140011000070111tdavbgtg535', '`04998904837000102733', '`852000058140011']
[2021-10-28 22:18:43,774] [INFO] ['`RD', '`2021/10/28', '`02913', '`000001', '`20211027', '`111655', '`2021102722001319511404000724', '`ALIPAY', '`HKD', '`ALIPAYCN', '`', '`60', '`', '`0.72', '`', '`59.28', '`7993793', '`S', '`58140011000070111tdavbl03652', '`04998904837100102736', '`852000058140011']
[2021-10-28 22:18:43,774] [INFO] ['`RD', '`2021/10/28', '`02913', '`000001', '`20211027', '`111736', '`2021102722001374861418641747', '`ALIPAY', '`HKD', '`ALIPAYCN', '`', '`75', '`', '`0.9', '`', '`74.1', '`7993807', '`S', '`58140011000070111tdavbmap667', '`04998904837300102729', '`852000058140011']
[2021-10-28 22:18:43,775] [INFO] ['`RD', '`2021/10/28', '`02913', '`000001', '`20211027', '`111741', '`2021102722001366081410937936', '`ALIPAY', '`HKD', '`ALIPAYHK', '`', '`50', '`', '`0.6', '`', '`49.4', '`7993795', '`S', '`58140011000070111tdavbko1656', '`04998904837200102745', '`852000058140011']
[2021-10-28 22:18:43,775] [INFO] ['`RD', '`2021/10/28', '`02913', '`000001', '`20211027', '`111807', '`2021102722001310761412122247', '`ALIPAY', '`HKD', '`ALIPAYCN', '`', '`38', '`', '`0.46', '`', '`37.54', '`7993820', '`S', '`58140011000070111tdavbmge683', '`04998904837400102758', '`852000058140011']
[2021-10-28 22:18:43,775] [INFO] ['`RD', '`2021/10/28', '`02913', '`000001', '`20211027', '`111933', '`2021102722001354091411927408', '`ALIPAY', '`HKD', '`ALIPAYHK', '`', '`47', '`', '`0.56', '`', '`46.44', '`7993845', '`S', '`58140011000070111tdavbnr4711', '`04998904837500102724', '`852000058140011']
[2021-10-28 22:18:43,776] [INFO] ['`RD', '`2021/10/28', '`02913', '`000001', '`20211027', '`111951', '`2021102722001325481402750681', '`ALIPAY', '`HKD', '`ALIPAYCN', '`', '`40', '`', '`0.48', '`', '`39.52', '`7993853', '`S', '`58140011000070111tdavboe5720', '`04998904837700102738', '`852000058140011']
[2021-10-28 22:18:43,776] [INFO] ['`RD', '`2021/10/28', '`02913', '`000001', '`20211027', '`112010', '`2021102722001333461416756673', '`ALIPAY', '`HKD', '`ALIPAYCN', '`', '`18', '`', '`0.22', '`', '`17.78', '`7993861', '`S', '`58140011000070111tdavbooa730', '`04998904837800102701', '`852000058140011']
[2021-10-28 22:18:43,777] [INFO] ['`RD', '`2021/10/28', '`02913', '`000001', '`20211027', '`112101', '`2021102722001352491406879761', '`ALIPAY', '`HKD', '`ALIPAYCN', '`', '`58', '`', '`0.7', '`', '`57.3', '`7993878', '`S', '`58140011000070111tdavbpbp747', '`04998904838000102746', '`852000058140011']
